Recency,Frequency,Monetary,F_rank,R_rank,M_rank,RFM_Score,Segment
2784.0,1,64.0,3,4,2,432,Potential Loyalists
0.0,1,85.7,3,1,3,133,New Customers
2517.0,1,316.2,3,2,5,235,Big Spenders
2586.0,1,84.92,3,2,2,232,Other
2552.0,1,38.22,3,2,1,231,Low Value
2818.0,1,81.72,3,5,2,532,Other
2478.0,1,112.24,3,1,3,133,New Customers
2861.0,1,102.03,3,5,3,533,Other
2581.0,1,200.35,3,2,4,234,Other
2651.0,1,96.22,3,3,3,333,Potential Loyalists
2545.0,1,109.75,3,2,3,233,Other
2691.0,1,52.27,3,4,1,431,Low Value
2558.0,1,55.31,3,2,2,232,Other
2764.0,1,365.42,3,4,5,435,Big Spenders
2495.0,1,488.55,3,1,5,135,New Customers
2693.0,1,183.84,3,4,4,434,Potential Loyalists
2757.0,1,73.27,3,4,2,432,Potential Loyalists
2615.0,1,37.76,3,3,1,331,Low Value
